email,first_name,last_name,dept_code,admission_year,current_semester,username,password
nikhil.singh177521500341@college.edu,Nikhil,Singh,02,2026,5,nikhil.singh177521500341,edutrack@123
rakesh.saxena177521500342@college.edu,Rakesh,Saxena,01,2024,1,rakesh.saxena177521500342,edutrack@123
tarun.rawat177521500343@college.edu,Tarun,Rawat,03,2025,3,tarun.rawat177521500343,edutrack@123
sai.tripathi177521500344@college.edu,Sai,Tripathi,03,2026,5,sai.tripathi177521500344,edutrack@123
vamsi.chauhan177521500345@college.edu,Vamsi,Chauhan,05,2024,1,vamsi.chauhan177521500345,edutrack@123
nikhil.saini177521500346@college.edu,Nikhil,Saini,01,2025,3,nikhil.saini177521500346,edutrack@123
naresh.gupta177521500347@college.edu,Naresh,Gupta,04,2026,5,naresh.gupta177521500347,edutrack@123
surya.dubey177521500348@college.edu,Surya,Dubey,01,2024,1,surya.dubey177521500348,edutrack@123
rohan.sharma177521500349@college.edu,Rohan,Sharma,04,2025,3,rohan.sharma177521500349,edutrack@123
dev.saxena177521500350@college.edu,Dev,Saxena,05,2026,5,dev.saxena177521500350,edutrack@123
sandeep.shetty177521500351@college.edu,Sandeep,Shetty,01,2024,1,sandeep.shetty177521500351,edutrack@123
harsha.menon177521500352@college.edu,Harsha,Menon,01,2025,3,harsha.menon177521500352,edutrack@123
arjun.patel177521500353@college.edu,Arjun,Patel,05,2026,5,arjun.patel177521500353,edutrack@123
rohan.bhatt177521500354@college.edu,Rohan,Bhatt,04,2024,1,rohan.bhatt177521500354,edutrack@123
lokesh.thakur177521500355@college.edu,Lokesh,Thakur,02,2025,3,lokesh.thakur177521500355,edutrack@123
manoj.pandey177521500356@college.edu,Manoj,Pandey,01,2026,5,manoj.pandey177521500356,edutrack@123
vivek.pandey177521500357@college.edu,Vivek,Pandey,02,2024,1,vivek.pandey177521500357,edutrack@123
rahul.jain177521500358@college.edu,Rahul,Jain,03,2025,3,rahul.jain177521500358,edutrack@123
tejas.chopra177521500359@college.edu,Tejas,Chopra,04,2026,5,tejas.chopra177521500359,edutrack@123
pranav.patel177521500360@college.edu,Pranav,Patel,05,2024,1,pranav.patel177521500360,edutrack@123
gokul.kapoor177521500361@college.edu,Gokul,Kapoor,03,2025,3,gokul.kapoor177521500361,edutrack@123
bhargav.kohli177521500362@college.edu,Bhargav,Kohli,04,2026,5,bhargav.kohli177521500362,edutrack@123
vinay.mehta177521500363@college.edu,Vinay,Mehta,01,2024,1,vinay.mehta177521500363,edutrack@123
anil.rao177521500364@college.edu,Anil,Rao,05,2025,3,anil.rao177521500364,edutrack@123
ajay.roy177521500365@college.edu,Ajay,Roy,04,2026,5,ajay.roy177521500365,edutrack@123
sai.bansal177521500366@college.edu,Sai,Bansal,05,2024,1,sai.bansal177521500366,edutrack@123
sandeep.suri177521500367@college.edu,Sandeep,Suri,02,2025,3,sandeep.suri177521500367,edutrack@123
arvind.bhatt177521500368@college.edu,Arvind,Bhatt,01,2026,5,arvind.bhatt177521500368,edutrack@123
shashank.verma177521500369@college.edu,Shashank,Verma,04,2024,1,shashank.verma177521500369,edutrack@123
harsha.saini177521500370@college.edu,Harsha,Saini,03,2025,3,harsha.saini177521500370,edutrack@123
sandeep.chauhan177521500371@college.edu,Sandeep,Chauhan,02,2026,5,sandeep.chauhan177521500371,edutrack@123
rahul.saini177521500372@college.edu,Rahul,Saini,02,2024,1,rahul.saini177521500372,edutrack@123
pranav.malhotra177521500373@college.edu,Pranav,Malhotra,02,2025,3,pranav.malhotra177521500373,edutrack@123
aditya.nag177521500374@college.edu,Aditya,Nag,04,2026,5,aditya.nag177521500374,edutrack@123
abhinav.kapoor177521500375@college.edu,Abhinav,Kapoor,01,2024,1,abhinav.kapoor177521500375,edutrack@123
gokul.naidu177521500376@college.edu,Gokul,Naidu,03,2025,3,gokul.naidu177521500376,edutrack@123
vinay.seth177521500377@college.edu,Vinay,Seth,01,2026,5,vinay.seth177521500377,edutrack@123
ritvik.bhat177521500378@college.edu,Ritvik,Bhat,02,2024,1,ritvik.bhat177521500378,edutrack@123
pranav.sen177521500379@college.edu,Pranav,Sen,05,2025,3,pranav.sen177521500379,edutrack@123
sai.kumar177521500380@college.edu,Sai,Kumar,01,2026,5,sai.kumar177521500380,edutrack@123
abhinav.banerjee177521500381@college.edu,Abhinav,Banerjee,02,2024,1,abhinav.banerjee177521500381,edutrack@123
lokesh.malhotra177521500382@college.edu,Lokesh,Malhotra,05,2025,3,lokesh.malhotra177521500382,edutrack@123
shashank.kulkarni177521500383@college.edu,Shashank,Kulkarni,02,2026,5,shashank.kulkarni177521500383,edutrack@123
chaitanya.yadav177521500384@college.edu,Chaitanya,Yadav,04,2024,1,chaitanya.yadav177521500384,edutrack@123
manoj.bansal177521500385@college.edu,Manoj,Bansal,05,2025,3,manoj.bansal177521500385,edutrack@123
kiran.saxena177521500386@college.edu,Kiran,Saxena,04,2026,5,kiran.saxena177521500386,edutrack@123
deepak.kohli177521500387@college.edu,Deepak,Kohli,02,2024,1,deepak.kohli177521500387,edutrack@123
dinesh.nair177521500388@college.edu,Dinesh,Nair,05,2025,3,dinesh.nair177521500388,edutrack@123
sai.verma177521500389@college.edu,Sai,Verma,02,2026,5,sai.verma177521500389,edutrack@123
aryan.chopra177521500390@college.edu,Aryan,Chopra,01,2024,1,aryan.chopra177521500390,edutrack@123
vinay.dubey177521500391@college.edu,Vinay,Dubey,02,2025,3,vinay.dubey177521500391,edutrack@123
vamsi.banerjee177521500392@college.edu,Vamsi,Banerjee,03,2026,5,vamsi.banerjee177521500392,edutrack@123
madhav.verma177521500393@college.edu,Madhav,Verma,01,2024,1,madhav.verma177521500393,edutrack@123
nikhil.bansal177521500394@college.edu,Nikhil,Bansal,03,2025,3,nikhil.bansal177521500394,edutrack@123
darshan.malhotra177521500395@college.edu,Darshan,Malhotra,05,2026,5,darshan.malhotra177521500395,edutrack@123
dev.tripathi177521500396@college.edu,Dev,Tripathi,03,2024,1,dev.tripathi177521500396,edutrack@123
arvind.iyer177521500397@college.edu,Arvind,Iyer,04,2025,3,arvind.iyer177521500397,edutrack@123
uday.jain177521500398@college.edu,Uday,Jain,02,2026,5,uday.jain177521500398,edutrack@123
nikhil.kulkarni177521500399@college.edu,Nikhil,Kulkarni,04,2024,1,nikhil.kulkarni177521500399,edutrack@123
uday.malhotra1775215003100@college.edu,Uday,Malhotra,05,2025,3,uday.malhotra1775215003100,edutrack@123
aryan.lal1775215003101@college.edu,Aryan,Lal,03,2026,5,aryan.lal1775215003101,edutrack@123
ravi.kapoor1775215003102@college.edu,Ravi,Kapoor,05,2024,1,ravi.kapoor1775215003102,edutrack@123
varun.kulkarni1775215003103@college.edu,Varun,Kulkarni,04,2025,3,varun.kulkarni1775215003103,edutrack@123
abhinav.shetty1775215003104@college.edu,Abhinav,Shetty,02,2026,5,abhinav.shetty1775215003104,edutrack@123
arjun.tripathi1775215003105@college.edu,Arjun,Tripathi,02,2024,1,arjun.tripathi1775215003105,edutrack@123
dinesh.nair1775215003106@college.edu,Dinesh,Nair,02,2025,3,dinesh.nair1775215003106,edutrack@123
vinay.sen1775215003107@college.edu,Vinay,Sen,05,2026,5,vinay.sen1775215003107,edutrack@123
praveen.roy1775215003108@college.edu,Praveen,Roy,05,2024,1,praveen.roy1775215003108,edutrack@123
krishna.singh1775215003109@college.edu,Krishna,Singh,02,2025,3,krishna.singh1775215003109,edutrack@123
arjun.kumar1775215003110@college.edu,Arjun,Kumar,01,2026,5,arjun.kumar1775215003110,edutrack@123
rahul.pillai1775215003111@college.edu,Rahul,Pillai,04,2024,1,rahul.pillai1775215003111,edutrack@123
kiran.das1775215003112@college.edu,Kiran,Das,05,2025,3,kiran.das1775215003112,edutrack@123
aryan.sharma1775215003113@college.edu,Aryan,Sharma,01,2026,5,aryan.sharma1775215003113,edutrack@123
pranav.pandey1775215003114@college.edu,Pranav,Pandey,05,2024,1,pranav.pandey1775215003114,edutrack@123
kiran.reddy1775215003115@college.edu,Kiran,Reddy,04,2025,3,kiran.reddy1775215003115,edutrack@123
ritvik.malhotra1775215003116@college.edu,Ritvik,Malhotra,05,2026,5,ritvik.malhotra1775215003116,edutrack@123
anil.nair1775215003117@college.edu,Anil,Nair,02,2024,1,anil.nair1775215003117,edutrack@123
yash.nag1775215003118@college.edu,Yash,Nag,02,2025,3,yash.nag1775215003118,edutrack@123
vinay.yadav1775215003119@college.edu,Vinay,Yadav,02,2026,5,vinay.yadav1775215003119,edutrack@123
vamsi.rawat1775215003120@college.edu,Vamsi,Rawat,04,2024,1,vamsi.rawat1775215003120,edutrack@123
ajay.yadav1775215003121@college.edu,Ajay,Yadav,04,2025,3,ajay.yadav1775215003121,edutrack@123
siddharth.kapoor1775215003122@college.edu,Siddharth,Kapoor,02,2026,5,siddharth.kapoor1775215003122,edutrack@123
aarav.verma1775215003123@college.edu,Aarav,Verma,02,2024,1,aarav.verma1775215003123,edutrack@123
vamsi.saxena1775215003124@college.edu,Vamsi,Saxena,05,2025,3,vamsi.saxena1775215003124,edutrack@123
praveen.paul1775215003125@college.edu,Praveen,Paul,05,2026,5,praveen.paul1775215003125,edutrack@123
vivek.kohli1775215003126@college.edu,Vivek,Kohli,01,2024,1,vivek.kohli1775215003126,edutrack@123
arjun.seth1775215003127@college.edu,Arjun,Seth,04,2025,3,arjun.seth1775215003127,edutrack@123
naveen.suri1775215003128@college.edu,Naveen,Suri,05,2026,5,naveen.suri1775215003128,edutrack@123
bhargav.singh1775215003129@college.edu,Bhargav,Singh,03,2024,1,bhargav.singh1775215003129,edutrack@123
krishna.bhatt1775215003130@college.edu,Krishna,Bhatt,05,2025,3,krishna.bhatt1775215003130,edutrack@123
tarun.pandey1775215003131@college.edu,Tarun,Pandey,01,2026,5,tarun.pandey1775215003131,edutrack@123
dev.nag1775215003132@college.edu,Dev,Nag,02,2024,1,dev.nag1775215003132,edutrack@123
pranav.mehta1775215003133@college.edu,Pranav,Mehta,01,2025,3,pranav.mehta1775215003133,edutrack@123
sai.iyer1775215003134@college.edu,Sai,Iyer,05,2026,5,sai.iyer1775215003134,edutrack@123
uday.lal1775215003135@college.edu,Uday,Lal,01,2024,1,uday.lal1775215003135,edutrack@123
raghu.pandey1775215003136@college.edu,Raghu,Pandey,02,2025,3,raghu.pandey1775215003136,edutrack@123
rohan.bhat1775215003137@college.edu,Rohan,Bhat,04,2026,5,rohan.bhat1775215003137,edutrack@123
ajay.das1775215003138@college.edu,Ajay,Das,03,2024,1,ajay.das1775215003138,edutrack@123
sandeep.menon1775215003139@college.edu,Sandeep,Menon,03,2025,3,sandeep.menon1775215003139,edutrack@123
madhav.tripathi1775215003140@college.edu,Madhav,Tripathi,05,2026,5,madhav.tripathi1775215003140,edutrack@123
anil.roy1775215003141@college.edu,Anil,Roy,02,2024,1,anil.roy1775215003141,edutrack@123
harsha.gupta1775215003142@college.edu,Harsha,Gupta,01,2025,3,harsha.gupta1775215003142,edutrack@123
darshan.iyer1775215003143@college.edu,Darshan,Iyer,04,2026,5,darshan.iyer1775215003143,edutrack@123
manoj.verma1775215003144@college.edu,Manoj,Verma,03,2024,1,manoj.verma1775215003144,edutrack@123
aditya.rao1775215003145@college.edu,Aditya,Rao,04,2025,3,aditya.rao1775215003145,edutrack@123
chaitanya.bose1775215003146@college.edu,Chaitanya,Bose,05,2026,5,chaitanya.bose1775215003146,edutrack@123
sandeep.ghosh1775215003147@college.edu,Sandeep,Ghosh,03,2024,1,sandeep.ghosh1775215003147,edutrack@123
surya.kulkarni1775215003148@college.edu,Surya,Kulkarni,04,2025,3,surya.kulkarni1775215003148,edutrack@123
tarun.patel1775215003149@college.edu,Tarun,Patel,01,2026,5,tarun.patel1775215003149,edutrack@123
tarun.ghosh1775215003150@college.edu,Tarun,Ghosh,01,2024,1,tarun.ghosh1775215003150,edutrack@123
gokul.saxena1775215003151@college.edu,Gokul,Saxena,04,2025,3,gokul.saxena1775215003151,edutrack@123
karthik.bose1775215003152@college.edu,Karthik,Bose,05,2026,5,karthik.bose1775215003152,edutrack@123
gokul.lal1775215003153@college.edu,Gokul,Lal,03,2024,1,gokul.lal1775215003153,edutrack@123
rahul.pillai1775215003154@college.edu,Rahul,Pillai,03,2025,3,rahul.pillai1775215003154,edutrack@123
gokul.menon1775215003155@college.edu,Gokul,Menon,05,2026,5,gokul.menon1775215003155,edutrack@123
yash.kohli1775215003156@college.edu,Yash,Kohli,05,2024,1,yash.kohli1775215003156,edutrack@123
deepak.nag1775215003157@college.edu,Deepak,Nag,02,2025,3,deepak.nag1775215003157,edutrack@123
deepak.lal1775215003158@college.edu,Deepak,Lal,01,2026,5,deepak.lal1775215003158,edutrack@123
pranav.lal1775215003159@college.edu,Pranav,Lal,04,2024,1,pranav.lal1775215003159,edutrack@123
darshan.chopra1775215003160@college.edu,Darshan,Chopra,02,2025,3,darshan.chopra1775215003160,edutrack@123
sai.chatterjee1775215003161@college.edu,Sai,Chatterjee,02,2026,5,sai.chatterjee1775215003161,edutrack@123
pranav.yadav1775215003162@college.edu,Pranav,Yadav,02,2024,1,pranav.yadav1775215003162,edutrack@123
uday.pillai1775215003163@college.edu,Uday,Pillai,03,2025,3,uday.pillai1775215003163,edutrack@123
praveen.kulkarni1775215003164@college.edu,Praveen,Kulkarni,03,2026,5,praveen.kulkarni1775215003164,edutrack@123
aarav.seth1775215003165@college.edu,Aarav,Seth,05,2024,1,aarav.seth1775215003165,edutrack@123
vamsi.bansal1775215003166@college.edu,Vamsi,Bansal,01,2025,3,vamsi.bansal1775215003166,edutrack@123
anil.bhat1775215003167@college.edu,Anil,Bhat,02,2026,5,anil.bhat1775215003167,edutrack@123
kiran.seth1775215003168@college.edu,Kiran,Seth,04,2024,1,kiran.seth1775215003168,edutrack@123
naresh.chopra1775215003169@college.edu,Naresh,Chopra,04,2025,3,naresh.chopra1775215003169,edutrack@123
abhinav.chatterjee1775215003170@college.edu,Abhinav,Chatterjee,05,2026,5,abhinav.chatterjee1775215003170,edutrack@123
uday.rawat1775215003171@college.edu,Uday,Rawat,03,2024,1,uday.rawat1775215003171,edutrack@123
arvind.seth1775215003172@college.edu,Arvind,Seth,04,2025,3,arvind.seth1775215003172,edutrack@123
chaitanya.pandey1775215003173@college.edu,Chaitanya,Pandey,01,2026,5,chaitanya.pandey1775215003173,edutrack@123
raghu.tripathi1775215003174@college.edu,Raghu,Tripathi,01,2024,1,raghu.tripathi1775215003174,edutrack@123
pranav.das1775215003175@college.edu,Pranav,Das,03,2025,3,pranav.das1775215003175,edutrack@123
tarun.roy1775215003176@college.edu,Tarun,Roy,03,2026,5,tarun.roy1775215003176,edutrack@123
naveen.malhotra1775215003177@college.edu,Naveen,Malhotra,04,2024,1,naveen.malhotra1775215003177,edutrack@123
anil.dutta1775215003178@college.edu,Anil,Dutta,03,2025,3,anil.dutta1775215003178,edutrack@123
deepak.singh1775215003179@college.edu,Deepak,Singh,03,2026,5,deepak.singh1775215003179,edutrack@123
abhinav.kulkarni1775215003180@college.edu,Abhinav,Kulkarni,04,2024,1,abhinav.kulkarni1775215003180,edutrack@123
lokesh.yadav1775215003181@college.edu,Lokesh,Yadav,02,2025,3,lokesh.yadav1775215003181,edutrack@123
varun.kaul1775215003182@college.edu,Varun,Kaul,03,2026,5,varun.kaul1775215003182,edutrack@123
chaitanya.kulkarni1775215003183@college.edu,Chaitanya,Kulkarni,03,2024,1,chaitanya.kulkarni1775215003183,edutrack@123
varun.saini1775215003184@college.edu,Varun,Saini,01,2025,3,varun.saini1775215003184,edutrack@123
rahul.bose1775215003185@college.edu,Rahul,Bose,03,2026,5,rahul.bose1775215003185,edutrack@123
darshan.kulkarni1775215003186@college.edu,Darshan,Kulkarni,02,2024,1,darshan.kulkarni1775215003186,edutrack@123
naveen.yadav1775215003187@college.edu,Naveen,Yadav,02,2025,3,naveen.yadav1775215003187,edutrack@123
mahesh.das1775215003188@college.edu,Mahesh,Das,03,2026,5,mahesh.das1775215003188,edutrack@123
aditya.kohli1775215003189@college.edu,Aditya,Kohli,05,2024,1,aditya.kohli1775215003189,edutrack@123
gokul.kumar1775215003190@college.edu,Gokul,Kumar,04,2025,3,gokul.kumar1775215003190,edutrack@123
tejas.seth1775215003191@college.edu,Tejas,Seth,02,2026,5,tejas.seth1775215003191,edutrack@123
vinay.saxena1775215003192@college.edu,Vinay,Saxena,05,2024,1,vinay.saxena1775215003192,edutrack@123
ravi.rao1775215003193@college.edu,Ravi,Rao,03,2025,3,ravi.rao1775215003193,edutrack@123
madhav.menon1775215003194@college.edu,Madhav,Menon,02,2026,5,madhav.menon1775215003194,edutrack@123
ajay.sen1775215003195@college.edu,Ajay,Sen,03,2024,1,ajay.sen1775215003195,edutrack@123
tejas.mishra1775215003196@college.edu,Tejas,Mishra,02,2025,3,tejas.mishra1775215003196,edutrack@123
pranav.yadav1775215003197@college.edu,Pranav,Yadav,04,2026,5,pranav.yadav1775215003197,edutrack@123
arjun.dubey1775215003198@college.edu,Arjun,Dubey,05,2024,1,arjun.dubey1775215003198,edutrack@123
aarav.agarwal1775215003199@college.edu,Aarav,Agarwal,01,2025,3,aarav.agarwal1775215003199,edutrack@123
dev.agarwal1775215003200@college.edu,Dev,Agarwal,02,2026,5,dev.agarwal1775215003200,edutrack@123
naveen.kapoor1775215003201@college.edu,Naveen,Kapoor,04,2024,1,naveen.kapoor1775215003201,edutrack@123
naveen.patel1775215003202@college.edu,Naveen,Patel,05,2025,3,naveen.patel1775215003202,edutrack@123
ravi.jain1775215003203@college.edu,Ravi,Jain,04,2026,5,ravi.jain1775215003203,edutrack@123
rahul.yadav1775215003204@college.edu,Rahul,Yadav,03,2024,1,rahul.yadav1775215003204,edutrack@123
gokul.shetty1775215003205@college.edu,Gokul,Shetty,01,2025,3,gokul.shetty1775215003205,edutrack@123
ritvik.chopra1775215003206@college.edu,Ritvik,Chopra,05,2026,5,ritvik.chopra1775215003206,edutrack@123
praveen.chopra1775215003207@college.edu,Praveen,Chopra,05,2024,1,praveen.chopra1775215003207,edutrack@123
kiran.tripathi1775215003208@college.edu,Kiran,Tripathi,05,2025,3,kiran.tripathi1775215003208,edutrack@123
naveen.ghosh1775215003209@college.edu,Naveen,Ghosh,05,2026,5,naveen.ghosh1775215003209,edutrack@123
manoj.sen1775215003210@college.edu,Manoj,Sen,03,2024,1,manoj.sen1775215003210,edutrack@123
vivek.kaul1775215003211@college.edu,Vivek,Kaul,03,2025,3,vivek.kaul1775215003211,edutrack@123
mahesh.yadav1775215003212@college.edu,Mahesh,Yadav,03,2026,5,mahesh.yadav1775215003212,edutrack@123
bhargav.kohli1775215003213@college.edu,Bhargav,Kohli,01,2024,1,bhargav.kohli1775215003213,edutrack@123
aarav.chatterjee1775215003214@college.edu,Aarav,Chatterjee,03,2025,3,aarav.chatterjee1775215003214,edutrack@123
siddharth.jain1775215003215@college.edu,Siddharth,Jain,01,2026,5,siddharth.jain1775215003215,edutrack@123
sandeep.ghosh1775215003216@college.edu,Sandeep,Ghosh,03,2024,1,sandeep.ghosh1775215003216,edutrack@123
rohan.naidu1775215003217@college.edu,Rohan,Naidu,02,2025,3,rohan.naidu1775215003217,edutrack@123
rohan.das1775215003218@college.edu,Rohan,Das,02,2026,5,rohan.das1775215003218,edutrack@123
aarav.saxena1775215003219@college.edu,Aarav,Saxena,03,2024,1,aarav.saxena1775215003219,edutrack@123
yash.kaul1775215003220@college.edu,Yash,Kaul,03,2025,3,yash.kaul1775215003220,edutrack@123
harsha.shetty1775215003221@college.edu,Harsha,Shetty,04,2026,5,harsha.shetty1775215003221,edutrack@123
uday.pandey1775215003222@college.edu,Uday,Pandey,01,2024,1,uday.pandey1775215003222,edutrack@123
ajay.nair1775215003223@college.edu,Ajay,Nair,01,2025,3,ajay.nair1775215003223,edutrack@123
kiran.mehta1775215003224@college.edu,Kiran,Mehta,05,2026,5,kiran.mehta1775215003224,edutrack@123
aryan.rawat1775215003225@college.edu,Aryan,Rawat,03,2024,1,aryan.rawat1775215003225,edutrack@123
darshan.mehta1775215003226@college.edu,Darshan,Mehta,01,2025,3,darshan.mehta1775215003226,edutrack@123
bhargav.paul1775215003227@college.edu,Bhargav,Paul,05,2026,5,bhargav.paul1775215003227,edutrack@123
harsha.tripathi1775215003228@college.edu,Harsha,Tripathi,03,2024,1,harsha.tripathi1775215003228,edutrack@123
ajay.naidu1775215003229@college.edu,Ajay,Naidu,01,2025,3,ajay.naidu1775215003229,edutrack@123
surya.jain1775215003230@college.edu,Surya,Jain,01,2026,5,surya.jain1775215003230,edutrack@123
chaitanya.kapoor1775215003231@college.edu,Chaitanya,Kapoor,03,2024,1,chaitanya.kapoor1775215003231,edutrack@123
sandeep.bansal1775215003232@college.edu,Sandeep,Bansal,03,2025,3,sandeep.bansal1775215003232,edutrack@123
dev.ghosh1775215003233@college.edu,Dev,Ghosh,05,2026,5,dev.ghosh1775215003233,edutrack@123
ajay.nag1775215003234@college.edu,Ajay,Nag,01,2024,1,ajay.nag1775215003234,edutrack@123
kiran.shetty1775215003235@college.edu,Kiran,Shetty,01,2025,3,kiran.shetty1775215003235,edutrack@123
gokul.iyer1775215003236@college.edu,Gokul,Iyer,02,2026,5,gokul.iyer1775215003236,edutrack@123
anil.jain1775215003237@college.edu,Anil,Jain,01,2024,1,anil.jain1775215003237,edutrack@123
vinay.sen1775215003238@college.edu,Vinay,Sen,04,2025,3,vinay.sen1775215003238,edutrack@123
vinay.chatterjee1775215003239@college.edu,Vinay,Chatterjee,04,2026,5,vinay.chatterjee1775215003239,edutrack@123
dinesh.agarwal1775215003240@college.edu,Dinesh,Agarwal,02,2024,1,dinesh.agarwal1775215003240,edutrack@123
ravi.thakur1775215003241@college.edu,Ravi,Thakur,01,2025,3,ravi.thakur1775215003241,edutrack@123
uday.mehta1775215003242@college.edu,Uday,Mehta,05,2026,5,uday.mehta1775215003242,edutrack@123
anil.pandey1775215003243@college.edu,Anil,Pandey,05,2024,1,anil.pandey1775215003243,edutrack@123
siddharth.kaul1775215003244@college.edu,Siddharth,Kaul,04,2025,3,siddharth.kaul1775215003244,edutrack@123
ravi.joshi1775215003245@college.edu,Ravi,Joshi,02,2026,5,ravi.joshi1775215003245,edutrack@123
bhargav.malhotra1775215003246@college.edu,Bhargav,Malhotra,01,2024,1,bhargav.malhotra1775215003246,edutrack@123
abhinav.bhatt1775215003247@college.edu,Abhinav,Bhatt,05,2025,3,abhinav.bhatt1775215003247,edutrack@123
pavan.chopra1775215003248@college.edu,Pavan,Chopra,03,2026,5,pavan.chopra1775215003248,edutrack@123
vihaan.rawat1775215003249@college.edu,Vihaan,Rawat,02,2024,1,vihaan.rawat1775215003249,edutrack@123
shashank.mishra1775215003250@college.edu,Shashank,Mishra,03,2025,3,shashank.mishra1775215003250,edutrack@123
kiran.singh1775215003251@college.edu,Kiran,Singh,01,2026,5,kiran.singh1775215003251,edutrack@123
naveen.bansal1775215003252@college.edu,Naveen,Bansal,03,2024,1,naveen.bansal1775215003252,edutrack@123
aarav.mishra1775215003253@college.edu,Aarav,Mishra,02,2025,3,aarav.mishra1775215003253,edutrack@123
dinesh.naidu1775215003254@college.edu,Dinesh,Naidu,05,2026,5,dinesh.naidu1775215003254,edutrack@123
satish.roy1775215003255@college.edu,Satish,Roy,01,2024,1,satish.roy1775215003255,edutrack@123
