email,first_name,last_name,dept_code,employee_id,designation,username,password,qualification,experience_years,phone_number
krishna.nair177521457213@college.edu,Krishna,Nair,1,EMP400013,Assistant Professor,krishna.nair177521457213,EduTrack@123,M.Sc,1,9000000140
arjun.naidu177521457214@college.edu,Arjun,Naidu,2,EMP400014,Associate Professor,arjun.naidu177521457214,EduTrack@123,PhD,2,9000000141
arjun.kaul177521457215@college.edu,Arjun,Kaul,5,EMP400015,Associate Professor,arjun.kaul177521457215,EduTrack@123,M.Tech,3,9000000142
deepak.dubey177521457216@college.edu,Deepak,Dubey,2,EMP400016,Assistant Professor,deepak.dubey177521457216,EduTrack@123,M.Sc,4,9000000143
pavan.das177521457217@college.edu,Pavan,Das,5,EMP400017,Assistant Professor,pavan.das177521457217,EduTrack@123,PhD,5,9000000144
naveen.malhotra177521457218@college.edu,Naveen,Malhotra,5,EMP400018,Associate Professor,naveen.malhotra177521457218,EduTrack@123,M.Tech,6,9000000145
lokesh.nair177521457219@college.edu,Lokesh,Nair,4,EMP400019,Associate Professor,lokesh.nair177521457219,EduTrack@123,M.Sc,7,9000000146
ritvik.tripathi177521457220@college.edu,Ritvik,Tripathi,3,EMP400020,Assistant Professor,ritvik.tripathi177521457220,EduTrack@123,PhD,8,9000000147
raghu.nair177521457221@college.edu,Raghu,Nair,3,EMP400021,Professor,raghu.nair177521457221,EduTrack@123,M.Tech,9,9000000148
anil.malhotra177521457222@college.edu,Anil,Malhotra,1,EMP400022,Assistant Professor,anil.malhotra177521457222,EduTrack@123,M.Sc,10,9000000149
gokul.saini177521457223@college.edu,Gokul,Saini,1,EMP400023,Assistant Professor,gokul.saini177521457223,EduTrack@123,PhD,11,9000000150
naveen.patel177521457224@college.edu,Naveen,Patel,4,EMP400024,Associate Professor,naveen.patel177521457224,EduTrack@123,M.Tech,12,9000000151
gokul.sen177521457225@college.edu,Gokul,Sen,5,EMP400025,Associate Professor,gokul.sen177521457225,EduTrack@123,M.Sc,13,9000000152
yash.joshi177521457226@college.edu,Yash,Joshi,1,EMP400026,Assistant Professor,yash.joshi177521457226,EduTrack@123,PhD,14,9000000153
lokesh.mishra177521457227@college.edu,Lokesh,Mishra,2,EMP400027,Assistant Professor,lokesh.mishra177521457227,EduTrack@123,M.Tech,15,9000000154
tejas.agarwal177521457228@college.edu,Tejas,Agarwal,2,EMP400028,Assistant Professor,tejas.agarwal177521457228,EduTrack@123,M.Sc,16,9000000155
sandeep.thakur177521457229@college.edu,Sandeep,Thakur,3,EMP400029,Assistant Professor,sandeep.thakur177521457229,EduTrack@123,PhD,17,9000000156
pranav.malhotra177521457230@college.edu,Pranav,Malhotra,2,EMP400030,Professor,pranav.malhotra177521457230,EduTrack@123,M.Tech,18,9000000157
krishna.kapoor177521457231@college.edu,Krishna,Kapoor,3,EMP400031,Assistant Professor,krishna.kapoor177521457231,EduTrack@123,M.Sc,19,9000000158
ravi.paul177521457232@college.edu,Ravi,Paul,3,EMP400032,Professor,ravi.paul177521457232,EduTrack@123,PhD,20,9000000159
rakesh.chauhan177521457233@college.edu,Rakesh,Chauhan,5,EMP400033,Assistant Professor,rakesh.chauhan177521457233,EduTrack@123,M.Tech,1,9000000160
shashank.rao177521457234@college.edu,Shashank,Rao,5,EMP400034,Assistant Professor,shashank.rao177521457234,EduTrack@123,M.Sc,2,9000000161
aditya.chauhan177521457235@college.edu,Aditya,Chauhan,4,EMP400035,Professor,aditya.chauhan177521457235,EduTrack@123,PhD,3,9000000162
dev.iyer177521457236@college.edu,Dev,Iyer,4,EMP400036,Assistant Professor,dev.iyer177521457236,EduTrack@123,M.Tech,4,9000000163
mahesh.iyer177521457237@college.edu,Mahesh,Iyer,4,EMP400037,Professor,mahesh.iyer177521457237,EduTrack@123,M.Sc,5,9000000164
surya.kulkarni177521457238@college.edu,Surya,Kulkarni,1,EMP400038,Professor,surya.kulkarni177521457238,EduTrack@123,PhD,6,9000000165
rohan.lal177521457239@college.edu,Rohan,Lal,4,EMP400039,Associate Professor,rohan.lal177521457239,EduTrack@123,M.Tech,7,9000000166
sandeep.joshi177521457240@college.edu,Sandeep,Joshi,2,EMP400040,Professor,sandeep.joshi177521457240,EduTrack@123,M.Sc,8,9000000167
harsha.kumar177521457241@college.edu,Harsha,Kumar,3,EMP400041,Professor,harsha.kumar177521457241,EduTrack@123,PhD,9,9000000168
bhargav.banerjee177521457242@college.edu,Bhargav,Banerjee,4,EMP400042,Professor,bhargav.banerjee177521457242,EduTrack@123,M.Tech,10,9000000169
dev.nag177521457243@college.edu,Dev,Nag,3,EMP400043,Professor,dev.nag177521457243,EduTrack@123,M.Sc,11,9000000170
satish.tripathi177521457244@college.edu,Satish,Tripathi,1,EMP400044,Assistant Professor,satish.tripathi177521457244,EduTrack@123,PhD,12,9000000171
madhav.jain177521457245@college.edu,Madhav,Jain,2,EMP400045,Assistant Professor,madhav.jain177521457245,EduTrack@123,M.Tech,13,9000000172
vamsi.pillai177521457246@college.edu,Vamsi,Pillai,4,EMP400046,Professor,vamsi.pillai177521457246,EduTrack@123,M.Sc,14,9000000173
naresh.lal177521457247@college.edu,Naresh,Lal,5,EMP400047,Professor,naresh.lal177521457247,EduTrack@123,PhD,15,9000000174
vinay.verma177521457248@college.edu,Vinay,Verma,4,EMP400048,Professor,vinay.verma177521457248,EduTrack@123,M.Tech,16,9000000175
chaitanya.nag177521457249@college.edu,Chaitanya,Nag,3,EMP400049,Assistant Professor,chaitanya.nag177521457249,EduTrack@123,M.Sc,17,9000000176
